year,film,person,is_winner,raw_text,source_url
,2004,Park Chan-wook,False,24 | 2004 | Park Chan-wook | Oldboy | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2005,Lee Myung-se,False,25 | 2005 | Lee Myung-se | Duelist | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2006,Yoo Ha,False,26 | 2006 | Yoo Ha | A Dirty Carnival | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2007,Lee Myung-se,False,27 | 2007 | Lee Myung-se | M | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2008,Kim Ki-duk,False,28 | 2008 | Kim Ki-duk | Dream | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2009,Kim Yong-hwa,False,29 | 2009 | Kim Yong-hwa | Take Off | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2010,Jang Hoon,False,30 | 2010 | Jang Hoon | Secret Reunion | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2011,Jang Hoon,False,31 | 2011 | Jang Hoon | The Front Line | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2012,Kim Ki-duk,False,32 | 2012 | Kim Ki-duk | Pietà | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2013,Bong Joon-ho,False,33 | 2013 | Bong Joon-ho | Snowpiercer | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2014,Zhang Lu,False,34 | 2014 | Zhang Lu | Gyeongju | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2015,Ryoo Seung-wan,False,35 | 2015 | Ryoo Seung-wan | Veteran | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2016,Lee Kyoung-mi,False,36 | 2016 | Lee Kyoung-mi | The Truth Beneath | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2017,Hwang Dong-hyuk,False,37 | 2017 | Hwang Dong-hyuk | The Fortress | [ 3 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2018,Yoon Jong-bin,False,38 | 2018 | Yoon Jong-bin | The Spy Gone North | [ 4 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2019,Bong Joon-ho,False,39 | 2019 | Bong Joon-ho | Parasite | [ 5 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2020,Lim Dae-hyung,False,40 | 2020 | Lim Dae-hyung | Moonlit Winter | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2021,Ryoo Seung-wan,False,41 | 2021 | Ryoo Seung-wan | Escape from Mogadishu | [ 6 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2022,Park Chan-wook,False,42 | 2022 | Park Chan-wook | Decision to Leave | [ 7 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2023,Ka Sung-moon,False,43 | 2023 | Ka Sung-moon | Dream Palace | [ 8 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2024,Kim Sung-su,False,44 | 2024 | Kim Sung-su | 12.12: The Day | [ 9 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2025,Jang Byung-ki,False,45 | 2025 | Jang Byung-ki | When This Summer is Over | [ 10 ],https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1980,Choi Bool-am,False,1 | 1980 | Choi Bool-am | The Last Witness | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1981,Jeon Moo-song,False,2 | 1981 | Jeon Moo-song | Mandala | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1983,Ahn Sung-ki,False,3 | 1983 | Ahn Sung-ki | Polluted Ones | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1984,Ahn Sung-ki,False,4 | 1984 | Ahn Sung-ki | Village in the Mist | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
