year,ceremony,category,nominee,film,won
2022,Crystal Simorgh Awards,Best Feature,Habibollah Valinejad,The Situation of Mehdi,1
2022,Crystal Simorgh Awards,Best Title,Bahram Radan,Grassland,0
2022,Crystal Simorgh Awards,Best Title,Hassan Mostafavi,The Last Snow,0
2022,Crystal Simorgh Awards,Best Title,Reza Mirkarimi,The Night Guardian,0
2023,Crystal Simorgh Awards,Best Title,Hamed Hosseini,Metropol Cinema,1
2023,Crystal Simorgh Awards,Best Feature,Hamed Jafari,Smart Kid,1
2023,Crystal Simorgh Awards,Best Movie,Ebrahim Asghari,Number Ten,0
2023,Crystal Simorgh Awards,Best Movie,Mohammadreza Mesbah,In the Arms of the Tree,0
2023,Crystal Simorgh Awards,Best Movie,Davoud Sabouri,Mud Room,0
2023,Crystal Simorgh Awards,Best Movie,Kamran Hejazi,The Leather Jacket Man,0
2023,Crystal Simorgh Awards,Best Title,Mojtaba Rashvand,My Name is Love,0
2024,Crystal Simorgh Awards,Best Movie,Abbas Naderan,Majnoon,1
2024,Crystal Simorgh Awards,Best Movie,Ali Oji,Summer Time,0
2024,Crystal Simorgh Awards,Best Motion picture,Ata Panahi,Parviz Khan,0
2024,Crystal Simorgh Awards,Best Movie,Ali Shirmohammadi,The Morning of The Execution,0
2024,Crystal Simorgh Awards,Best Movie,Habibollah Valinejad,The West Sky,0
1983,Crystal Simorgh Awards,Best Director,Not awarded,,0
1984,Crystal Simorgh Awards,Best Filmmaker,Khosrow Sinai,The Inner Beast,1
1985,Crystal Simorgh Awards,Best Helmer,Yadollah Samadi,The Man Who Knew Too Much,1
1986,Crystal Simorgh Awards,Best Filmmaker,Kianoush Ayari,The Monster,1
1987,Crystal Simorgh Awards,Best Filmmaker,Abbas Kiarostami,Where Is the Friend's Home?,1
1987,Crystal Simorgh Awards,Best Director,Nasser Taghvai,Captain Khorshid,0
1987,Crystal Simorgh Awards,Best Filmmaker,Dariush Mehrjui,The Lodgers,0
1987,Crystal Simorgh Awards,Best Filmmaker,Ebrahim Forouzesh,The Key,0
1987,Crystal Simorgh Awards,Best Director,Masoud Jafari Jozani,The Stony Lion,0
1988,Crystal Simorgh Awards,Best Helmer,Kianoush Ayari,Beyond the Fire,1
1988,Crystal Simorgh Awards,Best Filmmaker,Pouran Derakhshandeh,Little Bird of Happiness,0
1988,Crystal Simorgh Awards,Best Director,Siamak Shayeghi,A Dowry for Robab,0
1988,Crystal Simorgh Awards,Best Helmer,Manouchehr Asgarinasab,The Awaiting Home,0
1988,Crystal Simorgh Awards,Best Director,Dariush Mehrjui,Shirak,0
1989,Crystal Simorgh Awards,Best Filmmaker,Mohsen Makhmalbaf,The Cyclist,1
1989,Crystal Simorgh Awards,Best Filmmaker,Mohsen Makhmalbaf,The Marriage of the Blessed,0
1989,Crystal Simorgh Awards,Best Helmer,Masoud Jafari Jozani,Eye of the Hurricane ‡,0
1989,Crystal Simorgh Awards,Best Filmmaker,Manouchehr Asgarinasab,Hey Joe,0
1990,Crystal Simorgh Awards,Best Filmmaker,Dariush Mehrjui,Hamoun,1
1990,Crystal Simorgh Awards,Best Helmer,Ebrahim Hatamikia,The Immigrant ‡,0
1990,Crystal Simorgh Awards,Best Director,Abbas Kiarostami,Close-Up,0
1990,Crystal Simorgh Awards,Best Filmmaker,Yadollah Samadi,Savalan,0
1990,Crystal Simorgh Awards,Best Director,Mohammad Motevaselani,The Seeker,0
1991,Crystal Simorgh Awards,Best Director,Varuzh Karim-Masihi,The Last Act,1
1991,Crystal Simorgh Awards,Best Filmmaker,Behrouz Afkhami,The Bride,0
1991,Crystal Simorgh Awards,Best Helmer,Yadollah Samadi,Apartment No.13 ‡,0
1991,Crystal Simorgh Awards,Best Helmer,Dariush Farhang,"One Ticket, Two Movies!",0
1992,Crystal Simorgh Awards,Best Director,Rakhshan Bani-Etemad,Nargess,1
1992,Crystal Simorgh Awards,Best Helmer,Bahram Beyzai,Travellers,0
1992,Crystal Simorgh Awards,Best Helmer,Mohsen Makhmalbaf,"Once Upon a Time, Cinema",0
1992,Crystal Simorgh Awards,Best Helmer,Alireza Davoodnejad,The Need  ‡,0
1992,Crystal Simorgh Awards,Best Helmer,Mehdi Sabbaghzadeh,The Quiet Home,0
1993,Crystal Simorgh Awards,Best Director,Sirus Alvand,Once for Ever,1
1993,Crystal Simorgh Awards,Best Filmmaker,Ebrahim Hatamikia,From Karkheh to Rhein ‡,0
1993,Crystal Simorgh Awards,Best Director,Dariush Mehrjui,Sara,0
