year,ceremony,category,nominee,film,won
2007,Grande Prêmio do Cinema Brasileiro,Best Director,Sérgio Machado,Cidade Baixa,1
2008,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,José Padilha,Tropa de Elite,1
2008,Grande Prêmio do Cinema Brasileiro,Best Helmer,Beto Brant e Renato Ciasca,Cão Sem Dono,1
2008,Grande Prêmio do Cinema Brasileiro,Best Director,Cao Hamburger,O Ano em que Meus Pais Saíram de Férias,1
2008,Grande Prêmio do Cinema Brasileiro,Best Director,João Moreira Salles,Santiago,1
2008,Grande Prêmio do Cinema Brasileiro,Best Helmer,Karim Aïnouz,O Céu de Suely,1
2009,Grande Prêmio do Cinema Brasileiro,Best Helmer,Marcos Jorge,Estômago,1
2009,Grande Prêmio do Cinema Brasileiro,Best Director,Daniela Thomas e Walter Salles,Linha de Passe,1
2009,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Fernando Meirelles,Ensaio sobre a Cegueira,1
2009,Grande Prêmio do Cinema Brasileiro,Best Director,Laís Bodanzky,Chega de Saudade,1
2009,Grande Prêmio do Cinema Brasileiro,Best Helmer,Mauro Lima,Meu Nome Não é Johnny,1
2010,Grande Prêmio do Cinema Brasileiro,Best Director,Anna Muylaert,É Proibido Fumar,1
2010,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Cláudio Torres,A Mulher Invisível,1
2010,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Daniel Filho,Se Eu Fosse Você 2,1
2010,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Daniel Filho,Tempos de Paz,1
2010,Grande Prêmio do Cinema Brasileiro,Best Helmer,Heitor Dhalia,À Deriva,1
2011,Grande Prêmio do Cinema Brasileiro,Best Director,José Padilha,Tropa de Elite 2: O Inimigo Agora é Outro,1
2011,Grande Prêmio do Cinema Brasileiro,Best Helmer,Daniel Filho,Chico Xavier,1
2011,Grande Prêmio do Cinema Brasileiro,Best Director,José Joffily,Olhos Azuis,1
2011,Grande Prêmio do Cinema Brasileiro,Best Director,Karim Aïnouz e Marcelo Gomes,"Viajo porque Preciso, Volto porque Te Amo",1
2011,Grande Prêmio do Cinema Brasileiro,Best Helmer,Laís Bodanzky,As Melhores Coisas do Mundo,1
2012,Grande Prêmio do Cinema Brasileiro,Best Director,Selton Mello,O Palhaço,1
2012,Grande Prêmio do Cinema Brasileiro,Best Helmer,Andrucha Waddington,Lope,1
2012,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Cláudio Torres,O Homem do Futuro,1
2012,Grande Prêmio do Cinema Brasileiro,Best Helmer,Eduardo Coutinho,As Canções,1
2012,Grande Prêmio do Cinema Brasileiro,Best Helmer,Jeferson De,Bróder,1
2013,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Breno Silveira,Gonzaga - de Pai pra Filho,1
2013,Grande Prêmio do Cinema Brasileiro,Best Helmer,Afonso Poyart,2 Coelhos,1
2013,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Cao Hamburger,Xingu,1
2013,Grande Prêmio do Cinema Brasileiro,Best Director,Cláudio Assis,Febre do Rato,1
2013,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Walter Carvalho,"Raul - O Início, o Fim e o Meio",1
2014,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Bruno Barreto,Flores Raras,1
2014,Grande Prêmio do Cinema Brasileiro,Best Helmer,Halder Gomes,Cine Holliúdy,1
2014,Grande Prêmio do Cinema Brasileiro,Best Director,Heitor Dhalia,Serra Pelada,1
2014,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Hilton Lacerda,Tatuagem,1
2014,Grande Prêmio do Cinema Brasileiro,Best Helmer,Kleber Mendonça Filho,O Som ao Redor,1
2015,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Fernando Coimbra,O Lobo atrás da Porta,1
2015,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Carolina Jabor,Boa Sorte,1
2015,Grande Prêmio do Cinema Brasileiro,Best Helmer,Daniel Ribeiro,Hoje Eu Quero Voltar Sozinho,1
2015,Grande Prêmio do Cinema Brasileiro,Best Director,João Jardim,Getúlio,1
2015,Grande Prêmio do Cinema Brasileiro,Best Director,Karim Aïnouz,Praia do Futuro,1
2016,Grande Prêmio do Cinema Brasileiro,Best Director,Anna Muylaert,Que Horas Ela Volta?,1
2016,Grande Prêmio do Cinema Brasileiro,Best Director,Camilo Cavalcanti,A História da Eternidade,1
2016,Grande Prêmio do Cinema Brasileiro,Best Director,Chico Teixeira,Ausência,1
2016,Grande Prêmio do Cinema Brasileiro,Best Helmer,Daniel Filho,"Sorria, Você Está Sendo Filmado",1
2016,Grande Prêmio do Cinema Brasileiro,Best Helmer,Eduardo Coutinho,Últimas Conversas,1
2016,Grande Prêmio do Cinema Brasileiro,Best Helmer,Eryk Rocha,Campo de Jogo,1
2016,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Fellipe Gamarano Barbosa,Casa Grande,1
2017,Grande Prêmio do Cinema Brasileiro,Best Helmer,Kleber Mendonça Filho,Aquarius,1
2017,Grande Prêmio do Cinema Brasileiro,Best Helmer,Afonso Poyart,Mais Forte que o Mundo,1
2017,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Anna Muylaert,Mãe Só Há Uma,1
2017,Grande Prêmio do Cinema Brasileiro,Best Director,David Schürmann,Pequeno Segredo,1
2017,Grande Prêmio do Cinema Brasileiro,Best Director,Gabriel Mascaro,Boi Neon,1
2018,Grande Prêmio do Cinema Brasileiro,Best Director,Laís Bodanzky,Como Nossos Pais,1
2018,Grande Prêmio do Cinema Brasileiro,Best Helmer,Daniel Rezende,Bingo: O Rei das Manhãs,1
2018,Grande Prêmio do Cinema Brasileiro,Best Helmer,Daniela Thomas,Vazante,1
2018,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Eliane Caffé,Era o Hotel Cambridge,1
2018,Grande Prêmio do Cinema Brasileiro,Best Director,Fellipe Gamarano Barbosa,Gabriel e a Montanha,1
2019,Grande Prêmio do Cinema Brasileiro,Best Helmer,Gustavo Pizzi,Benzinho,1
2019,Grande Prêmio do Cinema Brasileiro,Best Director,Aly Muritiba,Ferrugem,1
2019,Grande Prêmio do Cinema Brasileiro,Best Director,Andrucha Waddington,Chacrinha: O Velho Guerreiro,1
2019,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Carolina Jabor,Aos Teus Olhos,1
2019,Grande Prêmio do Cinema Brasileiro,Best Helmer,Gabriela Amaral Almeida,O Animal Cordial,1
2020,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Kleber Mendonça Filho e Juliano Dornelles,Bacurau,1
2020,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Daniel Rezende,Turma da Mônica - Laços,1
2020,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Flávia Castro,Deslembro,1
2020,Grande Prêmio do Cinema Brasileiro,Best Helmer,Gabriel Mascaro,Divino Amor,1
2020,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Karim Aïnouz,A Vida Invisível,1
2021,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Jeferson De,M8 - Quando a Morte Socorre a Vida,1
2021,Grande Prêmio do Cinema Brasileiro,Best Director,Ana Luiza Azevedo,Aos Olhos de Ernesto,1
2021,Grande Prêmio do Cinema Brasileiro,Best Director,Daniel Filho,Boca de Ouro,1
2021,Grande Prêmio do Cinema Brasileiro,Best Helmer,Geraldo Sarno,Sertania,1
2021,Grande Prêmio do Cinema Brasileiro,Best Director,Sandra Kogut,Três Verões,1
2021,Grande Prêmio do Cinema Brasileiro,Best Helmer,Vicente Amorim,A Divisão,1
2022,Grande Prêmio do Cinema Brasileiro,Best Helmer,Daniel Filho,O Silêncio da Chuva,1
2022,Grande Prêmio do Cinema Brasileiro,Best Helmer,Alexandre Moratto,7 Prisioneiros,1
2022,Grande Prêmio do Cinema Brasileiro,Best Director,Aly Muritiba,Deserto Particular,1
2022,Grande Prêmio do Cinema Brasileiro,Best Helmer,Anna Muylaert e Lô Politi,Alvorada,1
2022,Grande Prêmio do Cinema Brasileiro,Best Helmer,Daniel Rezende,Turma da Mônica: Lições,1
2022,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Luiz Bolognesi,A Última Floresta,1
2023,Grande Prêmio do Cinema Brasileiro,Best Director,Gabriel Martins,Marte Um,1
2023,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Laís Bodanzky,A Viagem de Pedro,1
2023,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Marcelo Gomes,Paloma,1
2023,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,René Sampaio,Eduardo e Mônica,1
2023,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Rosane Svartman,"Pluft, O Fantasminha",1
2024,Grande Prêmio do Cinema Brasileiro,Best Director,Carolina Markowicz,Pedágio,1
2024,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Anita Rocha da Silveira,Medusa,1
2024,Grande Prêmio do Cinema Brasileiro,Best Director,Kleber Mendonça Filho,Retratos Fantasmas,1
2024,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Marcus Baldini,O Sequestro do Voo 375,1
2024,Grande Prêmio do Cinema Brasileiro,Best Helmer,Tomás Portella,Aumenta que É Rock 'n Roll,1
2025,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Walter Salles,Ainda Estou Aqui,1
2025,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Andrucha Waddington,Vitória,1
2025,Grande Prêmio do Cinema Brasileiro,Best Director,Erico Rassi,Oeste Outra Vez,1
2025,Grande Prêmio do Cinema Brasileiro,Best Director,Karim Aïnouz,Motel Destino,1
2025,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Marcelo Caetano,Baby,1
2000,Grande Prêmio do Cinema Brasileiro,Best Actor,Matheus Nachtergaele,O Primeiro Dia,1
2000,Grande Prêmio do Cinema Brasileiro,Best Actor,Daniel Dantas,Traição,0
2000,Grande Prêmio do Cinema Brasileiro,Best Actor,Marco Nanini,Amor & Cia,0
2000,Grande Prêmio do Cinema Brasileiro,Best Actor,Murilo Benício,Orfeu,0
2000,Grande Prêmio do Cinema Brasileiro,Best Actor,Othon Bastos,Mauá - O Imperador e o Rei,0
2001,Grande Prêmio do Cinema Brasileiro,Best Actor,Matheus Nachtergaele,O Auto da Comparecida,1
2001,Grande Prêmio do Cinema Brasileiro,Best Actor,Antônio Fagundes,Villa-Lobos - Uma Vida de Paixão,0
2001,Grande Prêmio do Cinema Brasileiro,Best Actor,Genézio de Barros,Quase Nada,0
2001,Grande Prêmio do Cinema Brasileiro,Best Actor,Renato Aragão,O Trapalhão e a Luz Azul,0
2001,Grande Prêmio do Cinema Brasileiro,Best Actor,Stênio Garcia,"Eu, Tu, Eles",0
2002,Grande Prêmio do Cinema Brasileiro,Best Actor,Rodrigo Santoro,Bicho de Sete Cabeças,1
2002,Grande Prêmio do Cinema Brasileiro,Best Actor,Joaquim de Almeida,O Xangô de Baker Street,0
2002,Grande Prêmio do Cinema Brasileiro,Best Actor,Marco Nanini,Copacabana,0
2002,Grande Prêmio do Cinema Brasileiro,Best Actor,Murilo Benício,Amores Possíveis,0
2002,Grande Prêmio do Cinema Brasileiro,Best Actor,Raul Cortez,Lavoura Arcaica,0
2002,Grande Prêmio do Cinema Brasileiro,Best Actor,Selton Mello,Lavoura Arcaica,0
2003,Grande Prêmio do Cinema Brasileiro,Best Actor,Lázaro Ramos,Madame Satã,1
2003,Grande Prêmio do Cinema Brasileiro,Best Actor,Alexandre Borges,O Invasor,0
2003,Grande Prêmio do Cinema Brasileiro,Best Actor,Leandro Firmino,Cidade de Deus,0
2003,Grande Prêmio do Cinema Brasileiro,Best Actor,Marco Ricca,O Invasor,0
2003,Grande Prêmio do Cinema Brasileiro,Best Actor,Werner Schünemann,Netto Perde Sua Alma,0
2004,Grande Prêmio do Cinema Brasileiro,Best Actor,Selton Mello,Lisbela e o Prisioneiro,1
2004,Grande Prêmio do Cinema Brasileiro,Best Actor,Chico Diaz,Amarelo Manga,0
2004,Grande Prêmio do Cinema Brasileiro,Best Actor,Lázaro Ramos,O Homem que Copiava,0
2004,Grande Prêmio do Cinema Brasileiro,Best Actor,Matheus Nachtergaele,Amarelo Manga,0
2004,Grande Prêmio do Cinema Brasileiro,Best Actor,Rodrigo Santoro,Carandiru,0
2005,Grande Prêmio do Cinema Brasileiro,Best Actor,Daniel de Oliveira,Cazuza - O Tempo Não Para,1
2005,Grande Prêmio do Cinema Brasileiro,Best Actor,Aílton Graça,Contra Todos,0
2005,Grande Prêmio do Cinema Brasileiro,Best Actor,Caco Ciocler,Olga,0
2005,Grande Prêmio do Cinema Brasileiro,Best Actor,José Dumont,Narradores de Javé,0
2005,Grande Prêmio do Cinema Brasileiro,Best Actor,Lázaro Ramos,Meu Tio Matou um Cara,0
2005,Grande Prêmio do Cinema Brasileiro,Best Actor,Paulo José,Benjamim,0
2005,Grande Prêmio do Cinema Brasileiro,Best Actor,Raul Cortez,O Outro Lado da Rua,0
2006,Grande Prêmio do Cinema Brasileiro,Best Actor,Não houve premiação,Não houve premiação,0
2007,Grande Prêmio do Cinema Brasileiro,Best Actor,Ângelo Antônio,2 Filhos de Francisco,1
2007,Grande Prêmio do Cinema Brasileiro,Best Actor,Caco Ciocler,Quase Dois Irmãos,0
2007,Grande Prêmio do Cinema Brasileiro,Best Actor,Flávio Bauraqui,Quase Dois Irmãos,0
2007,Grande Prêmio do Cinema Brasileiro,Best Actor,João Miguel,"Cinema, Aspirinas e Urubus",0
2007,Grande Prêmio do Cinema Brasileiro,Best Actor,José Dumont,Árido Movie,0
2007,Grande Prêmio do Cinema Brasileiro,Best Actor,Lázaro Ramos,Cidade Baixa,0
2007,Grande Prêmio do Cinema Brasileiro,Best Actor,Otávio Augusto,Bendito Fruto,0
2007,Grande Prêmio do Cinema Brasileiro,Best Actor,Wagner Moura,Cidade Baixa,0
2008,Grande Prêmio do Cinema Brasileiro,Best Actor,Wagner Moura,Tropa de Elite,1
2008,Grande Prêmio do Cinema Brasileiro,Best Actor,João Miguel,Mutum,0
2008,Grande Prêmio do Cinema Brasileiro,Best Actor,Lázaro Ramos,"Ó Paí, Ó",0
2008,Grande Prêmio do Cinema Brasileiro,Best Actor,Marco Ricca,A Via Láctea,0
2008,Grande Prêmio do Cinema Brasileiro,Best Actor,Matheus Nachtergaele,Baixio das Bestas,0
2008,Grande Prêmio do Cinema Brasileiro,Best Actor,Selton Mello,O Cheiro do Ralo,0
2009,Grande Prêmio do Cinema Brasileiro,Best Actor,Selton Mello,Meu Nome Não É Johnny,1
