year,ceremony,category,nominee,film,won
2008,Premios Sur,Best Actor,Hernán Piquín,Aniceto,0
2008,Premios Sur,Best Actor,Jorge Marrale,Motivos para no enamorarse,0
2007,Premios Sur,Best Actor,Julio Chávez,El otro,1
2007,Premios Sur,Best Actor,Alejandro Urdapilleta,La antena,0
2007,Premios Sur,Best Actor,Carlos Portaluppi,Una novia errante,0
2007,Premios Sur,Best Actor,Diego Peretti,¿Quién dice que es fácil?,0
2007,Premios Sur,Best Actor,Ricardo Darín,La señal,0
2006,Premios Sur,Best Actor,Jorge Marrale,Las manos,1
2006,Premios Sur,Best Actor,Daniel Hendler,Derecho de familia,0
2006,Premios Sur,Best Actor,Julio Chávez,El custodio,0
2006,Premios Sur,Best Actor,Pepe Soriano,A través de tus ojos,0
2006,Premios Sur,Best Actor,Rodrigo de la Serna,Crónica de una fuga,0
2025,Premios Sur,Best Actress,Marilú Marini,27 noches,1
2025,Premios Sur,Best Actress,Dolores Fonzi,Belén,0
2025,Premios Sur,Best Actress,Mara Bestelli,El mensaje,0
2025,Premios Sur,Best Actress,Natalia Oreiro,La mujer de la fila,0
2024,Premios Sur,Best Actress,Maite Aguilar,Alemania,1
2024,Premios Sur,Best Actress,Inés Estévez,Miranda de viernes a lunes,0
2024,Premios Sur,Best Actress,Miranda de la Serna,Alemania,0
2024,Premios Sur,Best Actress,Rita Cortese,Los domingos mueren más personas,0
2023,Premios Sur,Best Actress,Dolores Fonzi,Blondi,1
2023,Premios Sur,Best Actress,Julieta Zylberberg,El rapto,0
2023,Premios Sur,Best Actress,Laura Paredes,Trenque Lauquen,0
2023,Premios Sur,Best Actress,Mercedes Morán,Elena sabe,0
2022,Premios Sur,Best Actress,Pilar Gamboa,30 noches con mi ex,1
2022,Premios Sur,Best Actress,Marilú Marini,Cuando la miro,0
2022,Premios Sur,Best Actress,Sofía Gala Castiglione,Cadáver exquisito,0
2022,Premios Sur,Best Actress,Sofía Gala Castiglione,Natalia Natalia,0
2021,Premios Sur,Best Actress,Érica Rivas,El prófugo,1
2021,Premios Sur,Best Actress,Jimena Anganuzzi,El apego,0
2021,Premios Sur,Best Actress,Lola Berthet,El apego,0
2021,Premios Sur,Best Actress,Paula Carruega,Ojos de arena,0
2020,Premios Sur,Best Actress,Valeria Lois,Las siamesas,1
2020,Premios Sur,Best Actress,Cecilia Roth,Crímenes de familia,0
2020,Premios Sur,Best Actress,Mónica Antonópulos,El encanto,0
2020,Premios Sur,Best Actress,Rita Cortese,Las siamesas,0
2019,Premios Sur,Best Actress,Graciela Borges,El cuento de las comadrejas,1
2019,Premios Sur,Best Actress,Amanda Minujín,Las buenas intenciones,0
2019,Premios Sur,Best Actress,Érica Rivas,Los sonámbulos,0
2019,Premios Sur,Best Actress,Mercedes Morán,Sueño Florianópolis,0
2018,Premios Sur,Best Actress,Mercedes Morán,Familia sumergida,1
2018,Premios Sur,Best Actress,Antonella Costa,Dry Martina,0
2018,Premios Sur,Best Actress,Liliana Juárez,El motoarrebatador,0
2018,Premios Sur,Best Actress,Mercedes Funes,"Yo soy así, Tita de Buenos Aires",0
2017,Premios Sur,Best Actress,Sofía Gala Castiglione,Alanis,1
2017,Premios Sur,Best Actress,Bárbara Lennie,Una especie de familia,0
2017,Premios Sur,Best Actress,Dolores Fonzi,La cordillera,0
