year,ceremony,category,nominee,film,won
1986,Cóndor de Plata,Best Title,Luis Puenzo,La historia oficial,0
1985,Cóndor de Plata,Best Motion picture,Alejandro Doria,Darse cuenta,0
1983,Cóndor de Plata,Best Title,Fernando Ayala,Plata dulce,0
1982,Cóndor de Plata,Best Movie,Adolfo Aristarain,Tiempo de revancha,0
1981,Cóndor de Plata,Best Movie,Raúl de la Torre,El infierno tan temido,0
1974,Cóndor de Plata,Best Title,Leonardo Favio Héctor Olivera,Juan Moreira drama) Las venganzas de Beto Sánchez (comedia),0
1973,Cóndor de Plata,Best Title,Leopoldo Torre Nilsson,La maffia,0
1972,Cóndor de Plata,Best Feature,Edmund Valladares Enrique Carreras,Nosotros los monos (drama) La valija (comedia),0
1971,Cóndor de Plata,Best Movie,Raúl de la Torre,Juan Lamaglia y Sra.,0
1970,Cóndor de Plata,Best Title,Manuel Antín,Don Segundo Sombra,0
1969,Cóndor de Plata,Best Title,Leopoldo Torre Nilsson,Martín Fierro,0
1968,Cóndor de Plata,Best Movie,Leonardo Favio,El romance del Aniceto y la Francisca,0
1967,Cóndor de Plata,Best Title,Enrique Carreras,Del brazo y por la calle,0
1966,Cóndor de Plata,Best Title,Leonardo Favio,Crónica de un niño solo,0
1965,Cóndor de Plata,Best Feature,Enrique Carreras,Los evadidos,0
1964,Cóndor de Plata,Best Title,Fernando Ayala,Paula cautiva,0
1963,Cóndor de Plata,Best Title,Rodolfo Kuhn,Los jóvenes viejos,0
1962,Cóndor de Plata,Best Movie,Lautaro Murúa,Alias Gardelito,0
1961,Cóndor de Plata,Best Motion picture,Lautaro Murúa,Shunko,0
1960,Cóndor de Plata,Best Movie,Leopoldo Torre Nilsson,La caída,0
1959,Cóndor de Plata,Best Title,Fernando Ayala,El jefe,0
1957,Cóndor de Plata,Best Motion picture,Fernando Ayala,Los tallos amargos,0
1956,Cóndor de Plata,Best Feature,Hugo del Carril,"La Quintrala, doña Catalina de los Ríos y Lisperguer",0
1955,Cóndor de Plata,Best Motion picture,Mario Soffici,Barrio gris,0
1954,Cóndor de Plata,Best Title,Ralph Pappier,Caballito criollo,0
1953,Cóndor de Plata,Best Title,Hugo del Carril,Las aguas bajan turbias,0
1952,Cóndor de Plata,Best Feature,Lucas Demare,Los isleros,0
1951,Cóndor de Plata,Best Feature,Ralph Pappier,Escuela de campeones,0
1950,Cóndor de Plata,Best Feature,Luis César Amadori,Almafuerte,0
1949,Cóndor de Plata,Best Feature,Luis César Amadori,Dios se lo pague,0
1948,Cóndor de Plata,Best Movie,Luis César Amadori,Albéniz,0
1947,Cóndor de Plata,Best Motion picture,Mario Soffici,Celos,0
1946,Cóndor de Plata,Best Title,Luis Saslavsky,La dama duende,0
1945,Cóndor de Plata,Best Movie,Lucas Demare,Su mejor alumno,0
1944,Cóndor de Plata,Best Motion picture,Augusto César Vatteone,Juvenilia,0
1943,Cóndor de Plata,Best Feature,Lucas Demare,La guerra gaucha,0
1943,Cóndor de Plata,Best Helmer,Lucas Demare,La guerra gaucha,1
1944,Cóndor de Plata,Best Filmmaker,Augusto César Vatteone,Juvenilia,1
1945,Cóndor de Plata,Best Helmer,Lucas Demare,Su mejor alumno,1
1946,Cóndor de Plata,Best Helmer,Luis Saslavsky,La dama duende,1
1947,Cóndor de Plata,Best Filmmaker,Mario Soffici,Celos,1
