year,ceremony,category,nominee,film,country,winner,source_url
1972,Berlin IFF 1972,Silver Bear Best Director,Jean-Pierre Blanc,The Old Maid,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1972,Berlin IFF 1972,Silver Bear Grand Jury Prize,Arthur Hiller,The Hospital,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1973,Berlin IFF 1973,Golden Bear,অশনি সংকেত,Distant Thunder,,1,https://en.wikipedia.org/wiki/Golden_Bear
1973,Berlin IFF 1973,Silver Bear Grand Jury Prize,Il n'y a pas de fumée sans feu,There's No Smoke Without Fire,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1974,Berlin IFF 1974,Golden Bear,Ted Kotcheff,The Apprenticeship of Duddy Kravitz,,1,https://en.wikipedia.org/wiki/Golden_Bear
1974,Berlin IFF 1974,Silver Bear Grand Jury Prize,L'Horloger de Saint-Paul,The Clockmaker,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1975,Berlin IFF 1975,Golden Bear,Örökbefogadás,Adoption,,1,https://en.wikipedia.org/wiki/Golden_Bear
1975,Berlin IFF 1975,Silver Bear Best Actor,Vlastimil Brodský,Jacob the Liar,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1975,Berlin IFF 1975,Silver Bear Best Actress,Kinuyo Tanaka,Sandakan No. 8,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1975,Berlin IFF 1975,Silver Bear Best Director,Sergei Solovyov,One Hundred Days After Childhood,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1975,Berlin IFF 1975,Silver Bear Grand Jury Prize,Dupont Lajoie,The Common Man,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1975,Berlin IFF 1975,Silver Bear Grand Jury Prize,United Kingdom,Stuart Cooper,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1976,Berlin IFF 1976,Golden Bear,Robert Altman,"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",,1,https://en.wikipedia.org/wiki/Golden_Bear
1976,Berlin IFF 1976,Silver Bear Best Actor,Gerhard Olschewski,A Lost Life,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1976,Berlin IFF 1976,Silver Bear Best Actress,Jadwiga Barańska,Nights and Days,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1976,Berlin IFF 1976,Silver Bear Best Director,Mario Monicelli,Caro Michele,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1976,Berlin IFF 1976,Silver Bear Grand Jury Prize,Canoa: memoria de un hecho vergonzoso,Canoa: A Shameful Memory,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1977,Berlin IFF 1977,Golden Bear,Восхождение,The Ascent,,1,https://en.wikipedia.org/wiki/Golden_Bear
