year_film,year_ceremony,ceremony,category,canon_category,name,film,winner
1984,1985,31,Best Actor,ACTOR IN A LEADING ROLE,,Naseeruddin Shah ‡,False
1984,1985,31,Best Actor,ACTOR IN A LEADING ROLE,Kamal Haasan,K. Somprakash a.k.a. Somu,False
1984,1985,31,Best Actor,ACTOR IN A LEADING ROLE,Om Puri,Sub Insp. Anant Velankar,False
1984,1985,31,Best Actor,ACTOR IN A LEADING ROLE,Rajesh Khanna,Avatar Krishan,False
1984,1985,31,Best Actor,ACTOR IN A LEADING ROLE,Sunny Deol,Sunny Kapoor,False
1985,1986,32,Best Actor,ACTOR IN A LEADING ROLE,,Anupam Kher ‡,False
1985,1986,32,Best Actor,ACTOR IN A LEADING ROLE,Amitabh Bachchan,Vicky Kapoor,False
1985,1986,32,Best Actor,ACTOR IN A LEADING ROLE,Dilip Kumar,Vinod Kumar,False
1985,1986,32,Best Actor,ACTOR IN A LEADING ROLE,Naseeruddin Shah,Anirudh Parmar,False
1985,1986,32,Best Actor,ACTOR IN A LEADING ROLE,Raj Babbar,Prof. Prabhat Kumar Verma,False
1986,1987,33,Best Actor,ACTOR IN A LEADING ROLE,,Kamal Haasan ‡,False
1986,1987,33,Best Actor,ACTOR IN A LEADING ROLE,Amitabh Bachchan,Raju Singh,False
1986,1987,33,Best Actor,ACTOR IN A LEADING ROLE,Anil Kapoor,Arun Verma,False
1986,1987,33,Best Actor,ACTOR IN A LEADING ROLE,Kumar Gaurav,Rahul,False
1986,1987,33,Best Actor,ACTOR IN A LEADING ROLE,Rishi Kapoor,Dawood Mohd. Ali Khan Yousufzai,False
1987,1988,34,Best Actor,ACTOR IN A LEADING ROLE,NO CEREMONY,,True
1988,1989,35,Best Actor,ACTOR IN A LEADING ROLE,NO CEREMONY,,True
1989,1990,36,Best Actor,ACTOR IN A LEADING ROLE,,Anil Kapoor ‡,False
1989,1990,36,Best Actor,ACTOR IN A LEADING ROLE,Aamir Khan,Raj,False
1989,1990,36,Best Actor,ACTOR IN A LEADING ROLE,Amitabh Bachchan,Vijay Kumar Srivastav a.k.a. Shahenshah,False
1990,1991,37,Best Actor,ACTOR IN A LEADING ROLE,,Jackie Shroff ‡,False
1990,1991,37,Best Actor,ACTOR IN A LEADING ROLE,Aamir Khan,Amir Hussein,False
1990,1991,37,Best Actor,ACTOR IN A LEADING ROLE,Anil Kapoor,Eeshwar Chand Vishnunath Brahmanand,False
1990,1991,37,Best Actor,ACTOR IN A LEADING ROLE,Rishi Kapoor,Rohit Gupta,False
1990,1991,37,Best Actor,ACTOR IN A LEADING ROLE,Salman Khan,Prem Choudhary,False
1991,1992,38,Best Actor,ACTOR IN A LEADING ROLE,,Sunny Deol ‡,False
1991,1992,38,Best Actor,ACTOR IN A LEADING ROLE,Aamir Khan,Raja,False
1991,1992,38,Best Actor,ACTOR IN A LEADING ROLE,Amitabh Bachchan,Vijay Deenanath Chauhan,False
1991,1992,38,Best Actor,ACTOR IN A LEADING ROLE,Chiranjeevi,Siddhanth,False
1992,1993,39,Best Actor,ACTOR IN A LEADING ROLE,,Amitabh Bachchan ‡,False
1992,1993,39,Best Actor,ACTOR IN A LEADING ROLE,Aamir Khan,Raghu Jeitley,False
