year_film,year_ceremony,ceremony,category,canon_category,name,film,winner
2004,2005,11,"Best Actress","ACTRESS IN A LEADING ROLE","Preity Zinta †","Kal Ho Naa Ho",False
2004,2005,11,"Best Actress","ACTRESS IN A LEADING ROLE","Rani Mukerji ‡","Chalte Chalte",False
2004,2005,11,"Best Actress","ACTRESS IN A LEADING ROLE","Raveena Tandon",Satta,False
2004,2005,11,"Best Actress","ACTRESS IN A LEADING ROLE","Sushmita Sen","Samay: When Time Strikes",False
2005,2006,12,"Best Actress","ACTRESS IN A LEADING ROLE","Rani Mukerji †","Hum Tum",False
2005,2006,12,"Best Actress","ACTRESS IN A LEADING ROLE","Aishwarya Rai ‡",Raincoat,False
2005,2006,12,"Best Actress","ACTRESS IN A LEADING ROLE","Kareena Kapoor",Dev,False
2005,2006,12,"Best Actress","ACTRESS IN A LEADING ROLE","Preity Zinta ‡",Veer-Zaara,False
2005,2006,12,"Best Actress","ACTRESS IN A LEADING ROLE","Shilpa Shetty ‡","Phir Milenge",False
2005,2006,12,"Best Actress","ACTRESS IN A LEADING ROLE","Urmila Matondkar ‡","Ek Hasina Thi",False
2006,2007,13,"Best Actress","ACTRESS IN A LEADING ROLE","Rani Mukerji †",Black,False
2006,2007,13,"Best Actress","ACTRESS IN A LEADING ROLE","Juhi Chawla","My Brother Nikhil",False
2006,2007,13,"Best Actress","ACTRESS IN A LEADING ROLE","Konkona Sen Sharma","Page 3",False
2006,2007,13,"Best Actress","ACTRESS IN A LEADING ROLE","Preity Zinta ‡","Salaam Namaste",False
2006,2007,13,"Best Actress","ACTRESS IN A LEADING ROLE","Sharmila Tagore ‡","Viruddh... Family Comes First",False
2007,2008,14,"Best Actress","ACTRESS IN A LEADING ROLE","Kareena Kapoor ‡",Omkara,False
2007,2008,14,"Best Actress","ACTRESS IN A LEADING ROLE","Aishwarya Rai ‡","Dhoom 2",False
2007,2008,14,"Best Actress","ACTRESS IN A LEADING ROLE","Amrita Rao",Vivah,False
2007,2008,14,"Best Actress","ACTRESS IN A LEADING ROLE","Ayesha Takia",Dor,False
2007,2008,14,"Best Actress","ACTRESS IN A LEADING ROLE","Bipasha Basu ‡",Corporate,False
2007,2008,14,"Best Actress","ACTRESS IN A LEADING ROLE","Kajol †",Fanaa,False
2008,2009,15,"Best Actress","ACTRESS IN A LEADING ROLE","Kareena Kapoor †","Jab We Met",False
2008,2009,15,"Best Actress","ACTRESS IN A LEADING ROLE","Aishwarya Rai ‡",Guru,False
2008,2009,15,"Best Actress","ACTRESS IN A LEADING ROLE",Tabu,"Cheeni Kum",False
2009,2010,16,"Best Actress","ACTRESS IN A LEADING ROLE","Priyanka Chopra †",Fashion,False
2009,2010,16,"Best Actress","ACTRESS IN A LEADING ROLE","Aishwarya Rai Bachchan ‡","Jodhaa Akbar",False
2009,2010,16,"Best Actress","ACTRESS IN A LEADING ROLE","Asin ‡",Ghajini,False
2009,2010,16,"Best Actress","ACTRESS IN A LEADING ROLE","Genelia D'souza","Jaane Tu... Ya Jaane Na",False
2009,2010,16,"Best Actress","ACTRESS IN A LEADING ROLE","Kajol ‡","U Me Aur Hum",False
2010,2011,17,"Best Actress","ACTRESS IN A LEADING ROLE","Vidya Balan †",Paa,False
2010,2011,17,"Best Actress","ACTRESS IN A LEADING ROLE","Deepika Padukone ‡","Love Aaj Kal",False
2010,2011,17,"Best Actress","ACTRESS IN A LEADING ROLE","Kareena Kapoor ‡","3 Idiots",False
2010,2011,17,"Best Actress","ACTRESS IN A LEADING ROLE","Katrina Kaif ‡","New York",False
2010,2011,17,"Best Actress","ACTRESS IN A LEADING ROLE","Priyanka Chopra ‡",Kaminey,False
2010,2011,17,"Best Actress","ACTRESS IN A LEADING ROLE","Priyanka Chopra","What's Your Raashee?",False
2011,2012,18,"Best Actress","ACTRESS IN A LEADING ROLE","Vidya Balan ‡",Ishqiya,False
2011,2012,18,"Best Actress","ACTRESS IN A LEADING ROLE","Aishwarya Rai Bachchan ‡",Guzaarish,False
2011,2012,18,"Best Actress","ACTRESS IN A LEADING ROLE","Anushka Sharma ‡","Band Baaja Baaraat",False
2011,2012,18,"Best Actress","ACTRESS IN A LEADING ROLE","Kajol †","My Name Is Khan",False
2011,2012,18,"Best Actress","ACTRESS IN A LEADING ROLE","Neetu Singh","Do Dooni Chaar",False
2012,2013,19,"Best Actress","ACTRESS IN A LEADING ROLE","Vidya Balan †","The Dirty Picture",False
2012,2013,19,"Best Actress","ACTRESS IN A LEADING ROLE","Kalki Koechlin",Shaitan,False
2012,2013,19,"Best Actress","ACTRESS IN A LEADING ROLE","Kangana Ranaut","Tanu Weds Manu",False
2012,2013,19,"Best Actress","ACTRESS IN A LEADING ROLE","Priyanka Chopra ‡","7 Khoon Maaf",False
2012,2013,19,"Best Actress","ACTRESS IN A LEADING ROLE","Rani Mukerji † won Filmfare Award for Best Supporting Actress","No One Killed Jessica",False
2012,2013,19,"Best Actress","ACTRESS IN A LEADING ROLE","Vidya Balan ‡","Sabrina Lal",False
2013,2014,20,"Best Actress","ACTRESS IN A LEADING ROLE","Vidya Balan †",Kahaani,False
2013,2014,20,"Best Actress","ACTRESS IN A LEADING ROLE","Deepika Padukone ‡",Cocktail,False
2013,2014,20,"Best Actress","ACTRESS IN A LEADING ROLE","Kareena Kapoor ‡",Heroine,False
2013,2014,20,"Best Actress","ACTRESS IN A LEADING ROLE","Parineeti Chopra ‡",Ishaqzaade,False
2013,2014,20,"Best Actress","ACTRESS IN A LEADING ROLE","Priyanka Chopra ‡",Barfi!,False
2013,2014,20,"Best Actress","ACTRESS IN A LEADING ROLE","Sridevi ‡","English Vinglish",False
2014,2015,21,"Best Actress","ACTRESS IN A LEADING ROLE","Deepika Padukone †","Goliyon Ki Raasleela Ram-Leela",False
2014,2015,21,"Best Actress","ACTRESS IN A LEADING ROLE","Deepika Padukone ‡","Chennai Express",False
2014,2015,21,"Best Actress","ACTRESS IN A LEADING ROLE","Chitrangada Singh",Inkaar,False
2014,2015,21,"Best Actress","ACTRESS IN A LEADING ROLE","Nimrat Kaur","The Lunchbox",False
2014,2015,21,"Best Actress","ACTRESS IN A LEADING ROLE","Parineeti Chopra ‡","Shuddh Desi Romance",False
2014,2015,21,"Best Actress","ACTRESS IN A LEADING ROLE","Shraddha Kapoor ‡","Aashiqui 2",False
2014,2015,21,"Best Actress","ACTRESS IN A LEADING ROLE","Sonakshi Sinha ‡",Lootera,False
2015,2016,22,"Best Actress","ACTRESS IN A LEADING ROLE","Priyanka Chopra ‡","Mary Kom",False
2015,2016,22,"Best Actress","ACTRESS IN A LEADING ROLE","Alia Bhatt ‡",Highway,False
2015,2016,22,"Best Actress","ACTRESS IN A LEADING ROLE","Deepika Padukone","Finding Fanny",False
2015,2016,22,"Best Actress","ACTRESS IN A LEADING ROLE","Kangana Ranaut †",Queen,False
2015,2016,22,"Best Actress","ACTRESS IN A LEADING ROLE","Parineeti Chopra","Hasee Toh Phasee",False
2015,2016,22,"Best Actress","ACTRESS IN A LEADING ROLE","Rani Mukerji ‡",Mardaani,False
2016,2017,23,"Best Actress","ACTRESS IN A LEADING ROLE","Deepika Padukone †",Piku,False
2016,2017,23,"Best Actress","ACTRESS IN A LEADING ROLE","Anushka Sharma ‡",NH10,False
2016,2017,23,"Best Actress","ACTRESS IN A LEADING ROLE","Kalki Koechlin","Margarita with a Straw",False
2016,2017,23,"Best Actress","ACTRESS IN A LEADING ROLE","Kangana Ranaut ‡","Tanu Weds Manu Returns",False
2016,2017,23,"Best Actress","ACTRESS IN A LEADING ROLE","Priyanka Chopra","Dil Dhadakne Do",False
2016,2017,23,"Best Actress","ACTRESS IN A LEADING ROLE","Sonam Kapoor ‡","Dolly Ki Doli",False
2017,2018,24,"Best Actress","ACTRESS IN A LEADING ROLE","Alia Bhatt †","Udta Punjab",False
2017,2018,24,"Best Actress","ACTRESS IN A LEADING ROLE","Alia Bhatt ‡","Dear Zindagi",False
2017,2018,24,"Best Actress","ACTRESS IN A LEADING ROLE","Anushka Sharma ‡","Ae Dil Hai Mushkil",False
2017,2018,24,"Best Actress","ACTRESS IN A LEADING ROLE","Anushka Sharma",Sultan,False
2017,2018,24,"Best Actress","ACTRESS IN A LEADING ROLE","Sonam Kapoor ‡",Neerja,False
2017,2018,24,"Best Actress","ACTRESS IN A LEADING ROLE","Taapsee Pannu",Pink,False
2018,2019,25,"Best Actress","ACTRESS IN A LEADING ROLE","Vidya Balan †","Tumhari Sulu",False
2018,2019,25,"Best Actress","ACTRESS IN A LEADING ROLE","Alia Bhatt ‡","Badrinath Ki Dulhania",False
2018,2019,25,"Best Actress","ACTRESS IN A LEADING ROLE","Bhumi Pednekar ‡","Shubh Mangal Saavdhan",False
2018,2019,25,"Best Actress","ACTRESS IN A LEADING ROLE","Fatima Sana Shaikh",Dangal,False
2018,2019,25,"Best Actress","ACTRESS IN A LEADING ROLE","Kangana Ranaut",Simran,False
2018,2019,25,"Best Actress","ACTRESS IN A LEADING ROLE","Kriti Sanon","Bareilly Ki Barfi",False
2018,2019,25,"Best Actress","ACTRESS IN A LEADING ROLE","Sridevi ‡",Mom,False
2019,2020,26,"Best Actress","ACTRESS IN A LEADING ROLE","Alia Bhatt †",Raazi,False
2019,2020,26,"Best Actress","ACTRESS IN A LEADING ROLE","Deepika Padukone ‡",Padmaavat,False
2019,2020,26,"Best Actress","ACTRESS IN A LEADING ROLE","Rani Mukerji ‡",Hichki,False
2019,2020,26,"Best Actress","ACTRESS IN A LEADING ROLE","Taapsee Pannu",Manmarziyaan,False
2019,2020,26,"Best Actress","ACTRESS IN A LEADING ROLE","Tabu ‡",Andhadhun,False
2020,2021,27,"Best Actress","ACTRESS IN A LEADING ROLE","Alia Bhatt †","Gully Boy",False
2020,2021,27,"Best Actress","ACTRESS IN A LEADING ROLE","Kangana Ranaut ‡","Manikarnika: The Queen of Jhansi",False
2020,2021,27,"Best Actress","ACTRESS IN A LEADING ROLE","Katrina Kaif",Bharat,False
2020,2021,27,"Best Actress","ACTRESS IN A LEADING ROLE","Taapsee Pannu",Badla,False
2020,2021,27,"Best Actress","ACTRESS IN A LEADING ROLE","Vidya Balan ‡","Mission Mangal",False
2026,2027,33,"Best Actress","ACTRESS IN A LEADING ROLE","Yami Gautam",Haq,False
2026,2027,33,"Best Actress","ACTRESS IN A LEADING ROLE","Triptii Dimri","Dhadak 2",False
2026,2027,33,"Best Actress","ACTRESS IN A LEADING ROLE","Kriti Sanon","Tere Ishk Mein",False
2026,2027,33,"Best Actress","ACTRESS IN A LEADING ROLE","Sonal Madhushankar","Humans in the Loop",False
2026,2027,33,"Best Actress","ACTRESS IN A LEADING ROLE","Konkona Sen Sharma","Metro… In Dino",False
2026,2027,33,"Best Actress","ACTRESS IN A LEADING ROLE","Monika Panwar",Nishaanchi,False
2026,2027,33,"Best Actress","ACTRESS IN A LEADING ROLE","Radhika Apte","Sister Midnight",False
1995,1996,2,"Best Supporting Actor","ACTOR IN A SUPPORTING ROLE","Anupam Kher","1942: A Love Story",False
1996,1997,3,"Best Supporting Actor","ACTOR IN A SUPPORTING ROLE","Paresh Rawal",Raja,False
1997,1998,4,"Best Supporting Actor","ACTOR IN A SUPPORTING ROLE","Amrish Puri","Ghatak: Lethal",False
1998,1999,5,"Best Supporting Actor","ACTOR IN A SUPPORTING ROLE",Virasat,"Raja Thakur",False
1999,2000,6,"Best Supporting Actor","ACTOR IN A SUPPORTING ROLE","Manoj Bajpayee",Satya,False
2000,2001,7,"Best Supporting Actor","ACTOR IN A SUPPORTING ROLE","Anil Kapoor",Taal,False
2001,2002,8,"Best Supporting Actor","ACTOR IN A SUPPORTING ROLE","Sanjay Dutt","Mission Kashmir",False
2002,2003,9,"Best Supporting Actor","ACTOR IN A SUPPORTING ROLE","Saif Ali Khan","Dil Chahta Hai",False
2003,2004,10,"Best Supporting Actor","ACTOR IN A SUPPORTING ROLE",Mohanlal,Company,False
2004,2005,11,"Best Supporting Actor","ACTOR IN A SUPPORTING ROLE","Saif Ali Khan","Kal Ho Naa Ho",False
2005,2006,12,"Best Supporting Actor","ACTOR IN A SUPPORTING ROLE","Abhishek Bachchan",Yuva,False
2006,2007,13,"Best Supporting Actor","ACTOR IN A SUPPORTING ROLE","Naseeruddin Shah",Iqbal,False
2007,2008,14,"Best Supporting Actor","ACTOR IN A SUPPORTING ROLE","Arshad Warsi","Lage Raho Munnabhai",False
2008,2009,15,"Best Supporting Actor","ACTOR IN A SUPPORTING ROLE","Aamir Khan","Taare Zameen Par (Like Stars on Earth)",False
2009,2010,16,"Best Supporting Actor","ACTOR IN A SUPPORTING ROLE","Arjun Rampal","Rock On!!",False
2010,2011,17,"Best Supporting Actor","ACTOR IN A SUPPORTING ROLE","Rishi Kapoor","Luck by Chance",False
2011,2012,18,"Best Supporting Actor","ACTOR IN A SUPPORTING ROLE","Arshad Warsi",Ishqiya,False
2012,2013,19,"Best Supporting Actor","ACTOR IN A SUPPORTING ROLE","Saif Ali Khan",Aarakshan,False
2013,2014,20,"Best Supporting Actor","ACTOR IN A SUPPORTING ROLE","Nawazuddin Siddiqui",Talaash,False
2014,2015,21,"Best Supporting Actor","ACTOR IN A SUPPORTING ROLE","Saurabh Shukla","Jolly LLB",False
2016,2017,23,"Best Supporting Actor","ACTOR IN A SUPPORTING ROLE","Deepak Dobriyal","Tanu Weds Manu: Returns",False
2017,2018,24,"Best Supporting Actor","ACTOR IN A SUPPORTING ROLE","Rishi Kapoor","Kapoor & Sons",False
2018,2019,25,"Best Supporting Actor","ACTOR IN A SUPPORTING ROLE","Rajkummar Rao","Bareilly Ki Barfi",False
2019,2020,26,"Best Supporting Actor","ACTOR IN A SUPPORTING ROLE","Pankaj Tripathi",Stree,False
2020,2021,27,"Best Supporting Actor","ACTOR IN A SUPPORTING ROLE","Gulshan Devaiah","Mard Ko Dard Nahi Hota",False
2026,2027,33,"Best Supporting Actor","ACTOR IN A SUPPORTING ROLE","Akshaye Khanna",Dhurandhar,False
1995,1996,2,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Mita Vashisht",Drohkaal,False
1996,1997,3,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Not awarded",,False
1997,1998,4,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Seema Biswas","Khamoshi: The Musical",False
1998,1999,5,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Shabana Azmi",Mrityudand,False
1999,2000,6,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Shefali Shah",Satya,False
2000,2001,7,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Sushmita Sen","Biwi No.1",False
2001,2002,8,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Sonali Bendre","Hamara Dil Aapke Paas Hai",False
2001,2002,8,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Aishwarya Rai ‡",Mohabbatein,False
2001,2002,8,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Mahima Chaudhry ‡",Dhadkan,False
2001,2002,8,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Reema Lagoo",Nidaan,False
2001,2002,8,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Sonali Kulkarni ‡","Mission Kashmir",False
2002,2003,9,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Raveena Tandon",Aks,False
2002,2003,9,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Ananya Khare","Chandni Bar",False
2002,2003,9,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Kareena Kapoor ‡","Kabhi Khushi Kabhie Gham",False
2002,2003,9,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Madhuri Dixit ‡",Lajja,False
2002,2003,9,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Rekha ‡",Ramdulaari,False
2003,2004,10,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Madhuri Dixit †",Devdas,False
2003,2004,10,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Antara Mali ‡",Company,False
2003,2004,10,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Kirron Kher ‡",Devdas,False
2003,2004,10,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Seema Biswas",Company,False
2003,2004,10,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Sushmita Sen ‡",Filhaal...,False
2004,2005,11,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Juhi Chawla","3 Deewarein",False
2004,2005,11,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Jaya Bachchan †","Kal Ho Naa Ho",False
2004,2005,11,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE",Revathi,Dhoop,False
2004,2005,11,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Seema Biswas",Bhoot,False
2004,2005,11,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Shabana Azmi ‡",Tehzeeb,False
2005,2006,12,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Rani Mukerji †",Yuva,False
2005,2006,12,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Divya Dutta ‡",Veer-Zaara,False
2005,2006,12,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Kirron Kher","Hum Tum",False
2005,2006,12,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Kareena Kapoor",Yuva,False
2005,2006,12,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Rani Mukerji ‡",Veer-Zaara,False
2006,2007,13,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Shweta Prasad ‡",Iqbal,False
2006,2007,13,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Lillete Dubey","My Brother... Nikhil",False
2006,2007,13,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Prateeksha Lonkar",Iqbal,False
2006,2007,13,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Shefali Shah ‡","Waqt: The Race Against Time",False
2006,2007,13,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Shernaz Patel",Black,False
2007,2008,14,"Best Supporting Actress","ACTRESS IN A SUPPORTING ROLE","Kirron Kher ‡","Rang De Basanti",False
