Year,Category,Winner,Film
2019,Best Playback Singer Male,,Sanju
2020,Best Playback Singer Male,,War
2020,Best Playback Singer Male,,The Sky Is Pink
2020,Best Playback Singer Male,,Kesari ‡
2020,Best Playback Singer Male,,Gully Boy
2020,Best Playback Singer Male,,Kabir Singh ‡
2021,Best Playback Singer Male,AWARDS NOT HELD DUE TO COVID-19 PANDEMIC,AWARDS NOT HELD DUE TO COVID-19 PANDEMIC
2022,Best Playback Singer Male,,Shershaah
2022,Best Playback Singer Male,,83
2022,Best Playback Singer Male,,Atrangi Re
2022,Best Playback Singer Male,,Ludo
2023,Best Playback Singer Male,,Brahmāstra: Part One – Shiva
2023,Best Playback Singer Male,,Rocketry: The Nambi Effect
2023,Best Playback Singer Male,,Gehraiyaan
2023,Best Playback Singer Male,,Jugjugg Jeeyo
2024,Best Playback Singer Male,,Animal †
2024,Best Playback Singer Male,,Animal ‡
2024,Best Playback Singer Male,,Pathaan
2024,Best Playback Singer Male,,Dunki
2024,Best Playback Singer Male,,Animal
2025,Best Playback Singer Male,,Article 370
2025,Best Playback Singer Male,,Laapataa Ladies
2025,Best Playback Singer Male,,Crew
2025,Best Playback Singer Male,,Bad Newz
2025,Best Playback Singer Male,,Teri Baaton Mein Aisa Uljha Jiya
2003,Best Playback Singer Female,Shreya Ghoshal,
2000,Best Playback Singer Female,Alka Yagnik,
2005,Best Playback Singer Female,Sunidhi Chauhan,
2015,Best Playback Singer Female,Kanika Kapoor,
2000,Best Playback Singer Female,,Taal
2001,Best Playback Singer Female,,Kaho Naa... Pyaar Hai
2001,Best Playback Singer Female,,Dhadkan
2001,Best Playback Singer Female,,Kya Kehna
2001,Best Playback Singer Female,,Har Dil Jo Pyar Karega
2001,Best Playback Singer Female,,Fiza
2002,Best Playback Singer Female,,Lagaan
2002,Best Playback Singer Female,,Dil Chahta Hai
2002,Best Playback Singer Female,,Kabhi Khushi Kabhie Gham
2002,Best Playback Singer Female,,Zubeidaa
2003,Best Playback Singer Female,,Devdas
2004,Best Playback Singer Female,,Jism
2004,Best Playback Singer Female,,Kal Ho Naa Ho
2004,Best Playback Singer Female,,LOC Kargil
2004,Best Playback Singer Female,,Tere Naam
2004,Best Playback Singer Female,,Munna Bhai M.B.B.S.
2005,Best Playback Singer Female,,Dhoom
2005,Best Playback Singer Female,,Aitraaz
2005,Best Playback Singer Female,,Hum Tum
2005,Best Playback Singer Female,,Mujhse Shaadi Karogi
2005,Best Playback Singer Female,,Chameli
2006,Best Playback Singer Female,,Bunty Aur Babli
2006,Best Playback Singer Female,,Mangal Pandey: The Rising
2006,Best Playback Singer Female,,Parineeta
2006,Best Playback Singer Female,,Dus
2007,Best Playback Singer Female,,Omkara
2007,Best Playback Singer Female,,Kabhi Alvida Naa Kehna
2007,Best Playback Singer Female,,Rang De Basanti
2007,Best Playback Singer Female,,Lage Raho Munnabhai
2007,Best Playback Singer Female,,Dhoom 2
2008,Best Playback Singer Female,,Guru
2008,Best Playback Singer Female,,Bhool Bhulaiyaa
2008,Best Playback Singer Female,,Saawariya
2008,Best Playback Singer Female,,Jab We Met
2008,Best Playback Singer Female,,Aaja Nachle
2009,Best Playback Singer Female,,Singh Is Kinng
2009,Best Playback Singer Female,,Jodhaa Akbar
2009,Best Playback Singer Female,,Race
2009,Best Playback Singer Female,,Bachna Ae Haseeno
2009,Best Playback Singer Female,,Dostana
2010,Best Playback Singer Female,,Wake Up Sid
2010,Best Playback Singer Female,,Delhi-6
2010,Best Playback Singer Female,,Paa
2010,Best Playback Singer Female,,3 Idiots
2010,Best Playback Singer Female,,Love Aaj Kal
2010,Best Playback Singer Female,,8 x 10 Tasveer
2011,Best Playback Singer Female,,Dabangg
2011,Best Playback Singer Female,,Ishqiya
2011,Best Playback Singer Female,,I Hate Luv Storys
2011,Best Playback Singer Female,,Band Baaja Baaraat
2011,Best Playback Singer Female,,Tees Maar Khan
2012,Best Playback Singer Female,,Bodyguard
2012,Best Playback Singer Female,,Rockstar
2012,Best Playback Singer Female,,The Dirty Picture
2012,Best Playback Singer Female,,Dum Maaro Dum
2012,Best Playback Singer Female,,7 Khoon Maaf
2013,Best Playback Singer Female,,Agneepath
2013,Best Playback Singer Female,,Cocktail
2013,Best Playback Singer Female,,Barfi!
2013,Best Playback Singer Female,,Ishaqzaade
2014,Best Playback Singer Female,,Aashiqui 2
2014,Best Playback Singer Female,,Goliyon Ki Raasleela Ram-Leela
2014,Best Playback Singer Female,,Lootera
2014,Best Playback Singer Female,,Bhaag Milkha Bhaag
2015,Best Playback Singer Female,,Ragini MMS 2
2015,Best Playback Singer Female,,Highway
2015,Best Playback Singer Female,,Humpty Sharma Ki Dulhania
2016,Best Playback Singer Female,,Dum Laga Ke Haisha
2016,Best Playback Singer Female,,Roy
