year_film,year_ceremony,ceremony,category,canon_category,name,film,winner
2004,2005,7,"Best Actor Male","ACTOR IN A LEADING ROLE","Shah Rukh Khan ‡","Kal Ho Naa Ho",False
2005,2006,8,"Best Actor Male","ACTOR IN A LEADING ROLE","Shah Rukh Khan ‡",Veer-Zaara,False
2005,2006,8,"Best Actor Male","ACTOR IN A LEADING ROLE","Amitabh Bachchan ‡",Khakee,False
2005,2006,8,"Best Actor Male","ACTOR IN A LEADING ROLE","Hrithik Roshan ‡",Lakshya,False
2005,2006,8,"Best Actor Male","ACTOR IN A LEADING ROLE","Salman Khan","Mujhse Shaadi Karogi",False
2005,2006,8,"Best Actor Male","ACTOR IN A LEADING ROLE","Shah Rukh Khan ‡","Main Hoon Na",False
2005,2006,8,"Best Actor Male","ACTOR IN A LEADING ROLE","Shah Rukh Khan †",Swades,False
2006,2007,9,"Best Actor Male","ACTOR IN A LEADING ROLE","Amitabh Bachchan †",Black,False
2006,2007,9,"Best Actor Male","ACTOR IN A LEADING ROLE","Ajay Devgan",Apaharan,False
2006,2007,9,"Best Actor Male","ACTOR IN A LEADING ROLE","Akshay Kumar","Waqt: The Race Against Time",False
2006,2007,9,"Best Actor Male","ACTOR IN A LEADING ROLE","Amitabh Bachchan ‡",Sarkar,False
2006,2007,9,"Best Actor Male","ACTOR IN A LEADING ROLE","Saif Ali Khan ‡",Parineeta,False
2006,2007,9,"Best Actor Male","ACTOR IN A LEADING ROLE","Shah Rukh Khan",Paheli,False
2007,2008,10,"Best Actor Male","ACTOR IN A LEADING ROLE","Hrithik Roshan ‡",Krrish,False
2007,2008,10,"Best Actor Male","ACTOR IN A LEADING ROLE","Aamir Khan ‡","Rang De Basanti",False
2007,2008,10,"Best Actor Male","ACTOR IN A LEADING ROLE","Ajay Devgan",Omkara,False
2007,2008,10,"Best Actor Male","ACTOR IN A LEADING ROLE","Sanjay Dutt ‡","Lage Raho Munna Bhai",False
2007,2008,10,"Best Actor Male","ACTOR IN A LEADING ROLE","Shah Rukh Khan ‡","Kabhi Alvida Naa Kehna",False
2008,2009,11,"Best Actor Male","ACTOR IN A LEADING ROLE","Shah Rukh Khan †","Chak De! India",False
2008,2009,11,"Best Actor Male","ACTOR IN A LEADING ROLE","Abhishek Bachchan ‡",Guru,False
2008,2009,11,"Best Actor Male","ACTOR IN A LEADING ROLE","Akshay Kumar ‡","Namastey London",False
2008,2009,11,"Best Actor Male","ACTOR IN A LEADING ROLE","Amitabh Bachchan","Cheeni Kum",False
2008,2009,11,"Best Actor Male","ACTOR IN A LEADING ROLE","Shahid Kapoor ‡","Jab We Met",False
2008,2009,11,"Best Actor Male","ACTOR IN A LEADING ROLE","Shah Rukh Khan ‡","Om Shanti Om",False
2009,2010,12,"Best Actor Male","ACTOR IN A LEADING ROLE","No award",--,False
2010,2011,13,"Best Actor Male","ACTOR IN A LEADING ROLE","No award",--,False
2011,2012,14,"Best Actor Male","ACTOR IN A LEADING ROLE","Shah Rukh Khan †","My Name Is Khan",False
2011,2012,14,"Best Actor Male","ACTOR IN A LEADING ROLE","Ajay Devgn ‡","Once Upon a Time in Mumbaai",False
2011,2012,14,"Best Actor Male","ACTOR IN A LEADING ROLE","Akshay Kumar",Housefull,False
2011,2012,14,"Best Actor Male","ACTOR IN A LEADING ROLE","Hrithik Roshan ‡",Guzaarish,False
2011,2012,14,"Best Actor Male","ACTOR IN A LEADING ROLE","Ranbir Kapoor ‡",Raajneeti,False
