year,ceremony,category,nominee,film,country,winner,source_url
2009,BIFA 2009,Best Actress,Skin,Sandra Laing,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2009,BIFA 2009,Best Actress,The Young Victoria,Queen Victoria,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2009,BIFA 2009,Best British Independent Film,,Moon,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2009,BIFA 2009,Best British Independent Film,,Lone Scherfig,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2009,BIFA 2009,Best British Independent Film,,Andrea Arnold,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2009,BIFA 2009,Best British Independent Film,,Armando Iannucci,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2009,BIFA 2009,Best British Independent Film,,Sam Taylor-Wood,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2009,BIFA 2009,Best Supporting Actor,John Henshaw,Looking for Eric,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
2009,BIFA 2009,Best Supporting Actor,An Education,Jack Mellor,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
2009,BIFA 2009,Best Supporting Actor,Fish Tank,Connor,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
2009,BIFA 2009,Best Supporting Actor,In the Loop,Simon Foster,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
2009,BIFA 2009,Best Supporting Actor,The Damned United,Sam Longson,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
2009,BIFA 2009,Best Supporting Actress,Anne-Marie Duff,Nowhere Boy,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actress
