year,ceremony,category,nominee,film,country,winner,source_url
1967,Venice Film Festival 1967,Volpi Cup for Best Actor,Ljubiša Samardžić,The Morning,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1967,Venice Film Festival 1967,Volpi Cup for Best Actress,Shirley Knight,Dutchman,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1968,Venice Film Festival 1968,Golden Lion,,Artists Under the Big Top: Perplexed,,1,https://en.wikipedia.org/wiki/Golden_Lion
1968,Venice Film Festival 1968,Volpi Cup for Best Actor,John Marley,Faces,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1968,Venice Film Festival 1968,Volpi Cup for Best Actress,Laura Betti,Teorema,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1969,Venice Film Festival 1969,Volpi Cup for Best Actress,Isadora,Isadora,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1970,Venice Film Festival 1970,Golden Lion,,"No award given, the editions of the festival were not competitive",,1,https://en.wikipedia.org/wiki/Golden_Lion
1970,Venice Film Festival 1970,Golden Lion,Orson Welles,Orson Welles,,1,https://en.wikipedia.org/wiki/Golden_Lion
1970,Venice Film Festival 1970,Volpi Cup for Best Actor,Marcello Mastroianni,The Pizza Triangle,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1971,Venice Film Festival 1971,Golden Lion,"Ingmar Bergman, Marcel Carné, and John Ford","Ingmar Bergman, Marcel Carné, and John Ford",,1,https://en.wikipedia.org/wiki/Golden_Lion
1971,Venice Film Festival 1971,Volpi Cup for Best Actor,Le Chat,Le Chat,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1971,Venice Film Festival 1971,Volpi Cup for Best Actress,Desperate Characters,Desperate Characters,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1972,Venice Film Festival 1972,Golden Lion,"Charlie Chaplin, Anatoli Golovnya and Billy Wilder","Charlie Chaplin, Anatoli Golovnya and Billy Wilder",,1,https://en.wikipedia.org/wiki/Golden_Lion
1973,Venice Film Festival 1973,Golden Lion,,"No award given, the festival was not organized during these years",,1,https://en.wikipedia.org/wiki/Golden_Lion
1978,Venice Film Festival 1978,Volpi Cup for Best Actress,Isabelle Huppert,Violette Nozière,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1979,Venice Film Festival 1979,Golden Lion,,"No award given, this edition of the festival was not competitive",,1,https://en.wikipedia.org/wiki/Golden_Lion
1979,Venice Film Festival 1979,Volpi Cup for Best Actor,1981,Tribute,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1979,Venice Film Festival 1979,Volpi Cup for Best Actor,1982,Missing,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1979,Venice Film Festival 1979,Volpi Cup for Best Actor,Jack Lemmon,The China Syndrome,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1980,Venice Film Festival 1980,Golden Lion,,Atlantic City,,1,https://en.wikipedia.org/wiki/Golden_Lion
1980,Venice Film Festival 1980,Golden Lion,,John Cassavetes,,1,https://en.wikipedia.org/wiki/Golden_Lion
1981,Venice Film Festival 1981,Golden Lion,,Marianne and Juliane,,1,https://en.wikipedia.org/wiki/Golden_Lion
1981,Venice Film Festival 1981,Silver Lion,,Do You Remember Dolly Bell?,,1,https://en.wikipedia.org/wiki/Silver_Lion
1981,Venice Film Festival 1981,Volpi Cup for Best Actress,Juliane,Juliane,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1981,Venice Film Festival 1981,Volpi Cup for Best Actress,Jutta Lampe,Marianne and Juliane,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1982,Venice Film Festival 1982,Golden Lion,,The State of Things,,1,https://en.wikipedia.org/wiki/Golden_Lion
1982,Venice Film Festival 1982,Golden Lion,"Alessandro Blasetti, Luis Buñuel, Frank Capra, George Cukor, Jean-Luc Godard, Sergei Yutkevich, Alexander Kluge, Akira Kurosawa, Michael Powell, Satyajit Ray, King Vidor, and Cesare Zavattini","Alessandro Blasetti, Luis Buñuel, Frank Capra, George Cukor, Jean-Luc Godard, Sergei Yutkevich, Alexander Kluge, Akira Kurosawa, Michael Powell, Satyajit Ray, King Vidor, and Cesare Zavattini",,1,https://en.wikipedia.org/wiki/Golden_Lion
1982,Venice Film Festival 1982,Silver Lion,,Sciopèn,,1,https://en.wikipedia.org/wiki/Silver_Lion
1982,Venice Film Festival 1982,Silver Lion,,De smaak van water,,1,https://en.wikipedia.org/wiki/Silver_Lion
1983,Venice Film Festival 1983,Golden Lion,,First Name: Carmen,,1,https://en.wikipedia.org/wiki/Golden_Lion
1983,Venice Film Festival 1983,Golden Lion,Michelangelo Antonioni,Michelangelo Antonioni,,1,https://en.wikipedia.org/wiki/Golden_Lion
1983,Venice Film Festival 1983,Silver Lion,,Sugar Cane Alley,,1,https://en.wikipedia.org/wiki/Silver_Lion
