award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Filmfare Awards South,2024,,Best Film,35 Chinna Katha Kaadu,Srujan Yarabolu and Siddharth Rallapalli,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2024,,Best Film,Lucky Baskhar,Suryadevara Naga Vamsi and Sai Soujanya,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2024,,Best Film,Hanu-Man,K. Niranjan Reddy,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2024,,Best Film,Committee Kurrollu,Padmaja Konidela and Jayalakshmi Adapaka,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2024,,Best Director,Sukumar,Pushpa 2: The Rule,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,2023,,Best Director,Venu Yeldandi,Balagam,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,2022,,Best Director,S. S. Rajamouli,RRR,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,2020–2021,,Best Director,Sukumar,Pushpa: The Rise,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,2018,,Best Director,Nag Ashwin,Mahanati,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,2017,,Best Director,S. S. Rajamouli,Baahubali: The Conclusion,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,2016,,Best Director,Vamsi Paidipally,Oopiri,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,2015,,Best Director,S. S. Rajamouli,Baahubali: The Beginning,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,2014,,Best Director,Vikram Kumar,Manam,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,2013,,Best Director,Trivikram Srinivas,Atharintiki Daaredi,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,2012,,Best Director,S. S. Rajamouli,Eega,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,2011,,Best Director,Sreenu Vaitla,Dookudu,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,2010,,Best Director,Krish,Vedam,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,2009,,Best Director,S. S. Rajamouli,Magadheera,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,2008,,Best Director,Krish,Gamyam,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,2007,,Best Director,Sekhar Kammula,Happy Days,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,2006,,Best Director,Puri Jagannadh,Pokiri,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,2005,,Best Director,Trivikram Srinivas,Athadu,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,2004,,Best Director,Sukumar,Arya,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,2003,,Best Director,Gunasekhar,Okkadu,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,2002,,Best Director,Krishna Vamsi,Khadgam,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,2001,,Best Director,Teja,Nuvvu Nenu,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,2000,,Best Director,K. Vijaya Bhaskar,Nuvve Kavali,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1999,,Best Director,B. Gopal,Samarasimha Reddy,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1998,,Best Director,Krishna Vamsi,Anthahpuram,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1997,,Best Director,K. Raghavendra Rao,Annamayya,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1996,,Best Director,Krishna Vamsi,Ninne Pelladata,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1995,,Best Director,K. Viswanath,Subha Sankalpam,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1994,,Best Director,S. V. Krishna Reddy,Subhalagnam,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1993,,Best Director,K. Raghavendra Rao,Allari Priyudu,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1992,,Best Director,K. Viswanath,Aapadbandhavudu,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1991,,Best Director,Kranthi Kumar,Seetharamayya Gari Manavaralu,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1990,,Best Director,K. Raghavendra Rao,Jagadeka Veerudu Athiloka Sundari,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1989,,Best Director,Mani Ratnam,Geethanjali,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1988,,Best Director,M. V. Raghu,Kallu,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1987,,Best Director,K. Viswanath,Sruthilayalu,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1986,,Best Director,K. Viswanath,Swathi Muthyam,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1985,,Best Director,Singeetham Srinivasa Rao,Mayuri,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1984,,Best Director,Jandhyala,Srivariki Premalekha,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1983,,Best Director,K. Viswanath,Saagara Sangamam,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1982,,Best Director,K. Viswanath,Subhalekha,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1981,,Best Director,Dasari Narayana Rao,Premabhishekam,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1980,,Best Director,Bapu,Vamsa Vruksham,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1979,,Best Director,Dasari Narayana Rao,Gorintaku,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1978,,Best Director,K. Balachander,Maro Charitra,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1977,,Best Director,K. Raghavendra Rao,Prema Lekhalu,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1976,,Best Director,Bapu,Seetha Kalyanam,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1975,,Best Director,K. Viswanath,Jeevana Jyothi,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1974,,Best Director,K. Viswanath,O Seeta Katha,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1973,,Best Director,T. Rama Rao,Jeevana Tharangaalu,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1972,,Best Director,K. V. Reddy,Sri Krishna Satya,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Director_–_Telugu
Filmfare Awards South,1972,,Best Actor,N. T. Rama Rao,Badi Panthulu,Raghava Rao,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1973,,Best Actor,Akkineni Nageswara Rao,Marapurani Manishi,Abbi,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1974,,Best Actor,Sobhan Babu,Khaidi Babai,"""Truck driver""",Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1974,,Best Actor,Krishna,Alluri Seetarama Raju,Alluri Sitarama Raju,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1974,,Best Actor,N. T. Rama Rao,Nippulanti Manishi,Vijay,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1975,,Best Actor,Sobhan Babu,Jeevana Jyothi,Vasu,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1975,,Best Actor,N. T. Rama Rao,Teerpu,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1975,,Best Actor,Rao Gopal Rao,Mutyala Muggu,Contractor,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1976,,Best Actor,Sobhan Babu,Soggadu,Sobhanadri,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1976,,Best Actor,Akkineni Nageswara Rao,Mahakavi Kshetrayya,Varadayya / Kshetrayya,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1976,,Best Actor,Krishnam Raju,Bhakta Kannappa,Hari / Shri Krishna,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1976,,Best Actor,N. T. Rama Rao,Aradhana,Gopi,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1976,,Best Actor,Narasimha Raju,Thoorpu Padamara,Suryam,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1977,,Best Actor,Krishnam Raju,Amara Deepam,Hari / Shri Krishna,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1977,,Best Actor,Akkineni Nageswara Rao,Raja Ramesh,Raja Ramesh,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1977,,Best Actor,Anant Nag,Prema Lekhalu,Madan,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1977,,Best Actor,N. T. Rama Rao,Adavi Ramudu,Ramu,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1977,,Best Actor,Rajinikanth,Chilakamma Cheppindi,Ravi,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1978,,Best Actor,Chandra Mohan,Padaharella Vayasu,Gopalakrishna,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1978,,Best Actor,Vijayachander,Karunamayudu,Jesus/Messaiah,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1978,,Best Actor,Kamal Haasan,Maro Charitra,Balaji,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1978,,Best Actor,Krishnam Raju,Mana Voori Pandavulu,Krishna,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1979,,Best Actor,Sobhan Babu,Karthika Deepam,"Sridhara Rao, Raja",Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1979,,Best Actor,Gokina Rama Rao,Punadhirallu,Raghuramaiah,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1979,,Best Actor,N. T. Rama Rao,Vetagaadu,Raja,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1980,,Best Actor,J. V. Somayajulu,Sankarabharanam,Sankara Sastry,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1980,,Best Actor,Chiranjeevi,Punnami Naagu,Naagulu,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1980,,Best Actor,M. Prabhakar Reddy,Yuvatharam Kadilindi,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1980,,Best Actor,Krishnam Raju,Sita Ramulu,Ramu,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1980,,Best Actor,Sai Chand,Maa Bhoomi,Ramayya,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1981,,Best Actor,Kamal Haasan,Aakali Rajyam,J. Ranga Rao,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1981,,Best Actor,Akkineni Nageswara Rao,Premabhishekam,Rajesh,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1981,,Best Actor,J. V. Somayajulu,Saptapadi,Yajulu,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1981,,Best Actor,M. Prabhakar Reddy,Palle Pilichindi,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1981,,Best Actor,N. T. Rama Rao,Kondaveeti Simham,S. P. Ranjith Kumar / Ramu,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1982,,Best Actor,Chiranjeevi,Subhalekha,Narasimha Murthi,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1982,,Best Actor,Akkineni Nageswara Rao,Meghasandesam,Ravindra Babu,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1982,,Best Actor,Krishnam Raju,Trisulam,Ramu,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1982,,Best Actor,N. T. Rama Rao,Bobbili Puli,Chakradhar,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1982,,Best Actor,Sobhan Babu,Devatha,Rambabu,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1983,,Best Actor,Kamal Haasan,Sagara Sangamam,Balakrishna,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1983,,Best Actor,Chiranjeevi,Khaidi,Sooryam,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1983,,Best Actor,Krishna,Adavi Simhalu,Krishna,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1983,,Best Actor,Krishnam Raju,Dharmaatmudu,Ranganatham,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1983,,Best Actor,Sobhan Babu,Mundadugu,Chakravarthi,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1984,,Best Actor,Krishnam Raju,Bobbili Brahmanna,Brahmanna / Ravi,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1984,,Best Actor,Akkineni Nageswara Rao,Vasantha Geetam,Kumar,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1984,,Best Actor,Chiranjeevi,Challenge,Gandhi,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1984,,Best Actor,Naresh,Srivariki Premalekha,Ananda Rao,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1984,,Best Actor,Sobhan Babu,Sampoorna Premayanam,Venu,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1985,,Best Actor,Chiranjeevi,Vijetha,Chinna Babu,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1985,,Best Actor,Sobhan Babu,Maharaju,Rambabu,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1985,,Best Actor,Krishna,Agni Parvatam,Jamadagni / Chandram,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1985,,Best Actor,Murali Mohan,O Thandri Teerpu,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1985,,Best Actor,Rajendra Prasad,Preminchu Pelladu,Rambabu,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1986,,Best Actor,Krishnam Raju,Tandra Paparayudu,Tandra Paparayudu,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1986,,Best Actor,Chiranjeevi,Chantabbai,Panduranga Rao,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1986,,Best Actor,Kamal Haasan,Swati Mutyam,Sivayya,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1986,,Best Actor,Rajasekhar,Repati Pourulu,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1986,,Best Actor,Venkatesh,Kaliyuga Pandavulu,Vijay,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1987,,Best Actor,Akkineni Nageswara Rao,Aatma Bandhuvulu,Anand Rao,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1987,,Best Actor,Balakrishna,Muvva Gopaludu,Gopi,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1987,,Best Actor,Chiranjeevi,Swayam Krushi,Sambaiah,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1987,,Best Actor,Nagarjuna,Majnu,Rajesh,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1987,,Best Actor,Rajasekhar,Sruthilayalu,Narayana Murthy,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1987,,Best Actor,Rajendra Prasad,Aha Naa Pellanta,Krishna Murthy,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1988,,Best Actor,Venkatesh,Brahma Puthrudu,Shakthi,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1988,,Best Actor,Chiranjeevi,Rudraveena,Suryanarayana Sharma,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1988,,Best Actor,Kallu Chidambaram,Kallu,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1988,,Best Actor,Krishnam Raju,Antima Teerpu,J. Krishna Moorti,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1988,,Best Actor,Nagarjuna,Aakhari Poratam,Vihari,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1989,,Best Actor,Kamal Haasan,Indrudu Chandrudu,G. K. Rayudu / Chandru,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1989,,Best Actor,Rajasekhar,Ankusam,Vijay,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1989,,Best Actor,Chiranjeevi,Attaku Yamudu Ammayiki Mogudu,Kalyan,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1989,,Best Actor,Nagarjuna,Geetanjali,Prakash,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1989,,Best Actor,Nagarjuna,Siva,Siva,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1989,,Best Actor,Venkatesh,Prema,Pruthvi,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1990,,Best Actor,Rajasekhar,Magaadu,Vikram,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1990,,Best Actor,Chiranjeevi,Jagadeka Veerudu Athiloka Sundari,Raju,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1990,,Best Actor,Mohan Babu,Alludugaru,Vishnu,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1990,,Best Actor,Rajendra Prasad,Mama Alludu,Vijay,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1990,,Best Actor,Venkatesh,Bobbili Raja,Raja,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1991,,Best Actor,Akkineni Nageswara Rao,Seetharamayya Gari Manavaralu,Sitaramayya,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1991,,Best Actor,Balakrishna,Aditya 369,Sri Krishnadeva Rayalu / Krishna Kumar,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1991,,Best Actor,Chiranjeevi,Gang Leader,Rajaram,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1991,,Best Actor,Rajendra Prasad,Yerra Mandaram,Ramudu,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1991,,Best Actor,Venkatesh,Kshana Kshanam,Chandu,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1992,,Best Actor,Chiranjeevi,Aapathbandavudu,Madhava,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1992,,Best Actor,Chiranjeevi,Gharana Mogudu,Raju,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1992,,Best Actor,Mammootty,Swathi Kiranam,Anantha Rama Sharma,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1992,,Best Actor,Nagarjuna,Antham,Raghav / Shekar,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1992,,Best Actor,Venkatesh,Chanti,Chanti,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1993,,Best Actor,Chiranjeevi,Muta Mestri,Subhash Chandra Bose,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
Filmfare Awards South,1993,,Best Actor,Jagapathi Babu,Gaayam,Durga,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Actor_–_Telugu
