year,ceremony,category,nominee,film,country,winner,source_url
1978,Carthage Film Festival 1978,Tanit d'Argent (Silver Tanit),Souleymane Cissé,Baara,Mali,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1978,Carthage Film Festival 1978,Tanit d'Or (Golden Tanit),Merzak Allouache,The Adventures of a Hero,Algeria,1,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1978,Carthage Film Festival 1978,Tanit de Bronze (Bronze Tanit),Ali Badrakhan,Chafika et Metwalli,Egypt,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1980,Carthage Film Festival 1980,Tanit d'Argent (Silver Tanit),,Ali au pays des mirages d'Ahmed Rachedi (Algeria),,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1980,Carthage Film Festival 1980,Tanit d'Or (Golden Tanit),,Aziza d'Abdellatif Ben Ammar (Tunisia),,1,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1980,Carthage Film Festival 1980,Tanit de Bronze (Bronze Tanit),Safi Faye,Fad'jal,Senegal,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1982,Carthage Film Festival 1982,Tanit d'Argent (Silver Tanit),Gaston Kaboré,God's Gift (Wend Kuni),Burkina Faso,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1982,Carthage Film Festival 1982,Tanit d'Or (Golden Tanit),Souleymane Cissé,The Wind (Binye),Mali,1,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1984,Carthage Film Festival 1984,Tanit d'Argent (Silver Tanit),,Porté disparu de Mohamed Khan (Egypt),,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1984,Carthage Film Festival 1984,Tanit d'Or (Golden Tanit),,Dreams of the City Mohamed Malas (Syria),,1,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1984,Carthage Film Festival 1984,Tanit de Bronze (Bronze Tanit),Arthur Si-Bita,Les Cooperants,Cameroon,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1986,Carthage Film Festival 1986,Tanit d'Argent (Silver Tanit),,Mr.,,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1986,Carthage Film Festival 1986,Tanit d'Argent (Silver Tanit),Ahmed Rachedi,Fabre's Windmill (Tahûna al amm Fabre),Algeria,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1986,Carthage Film Festival 1986,Tanit d'Or (Golden Tanit),,L'Homme de cendres de Nouri Bouzid (Tunisia),,1,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1986,Carthage Film Festival 1986,Tanit de Bronze (Bronze Tanit),Cheick Oumar Sissoko,Nyamanton,Mali,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1988,Carthage Film Festival 1988,Tanit d'Argent (Silver Tanit),Gaston Kaboré,Zan Boko,Burkina Faso,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1988,Carthage Film Festival 1988,Tanit d'Or (Golden Tanit),Michel Khleifi,Wedding in Galilee,Palestine,1,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1988,Carthage Film Festival 1988,Tanit de Bronze (Bronze Tanit),Fadhel Jaïbi and Fadhel Jaziri,Arab,Tunisia,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1988,Carthage Film Festival 1988,Winners,"Michel Khleifi, Palestine","1988: Wedding in Galilee,",,0,https://en.wikipedia.org/wiki/Tanit_d%27or
1990,Carthage Film Festival 1990,Tanit d'Argent (Silver Tanit),Rachid Benhadj,Rose of the Desert,Algeria,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1990,Carthage Film Festival 1990,Tanit d'Or (Golden Tanit),Férid Boughedir,Halfaouine Child of the Terraces,Tunisia,1,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1990,Carthage Film Festival 1990,Tanit de Bronze (Bronze Tanit),Flora Gomes,Mortu Nega,Guinea-Bissau,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1992,Carthage Film Festival 1992,Tanit d'Argent (Silver Tanit),Idrissa Ouedraogo,Samba Traoré,Burkina Faso,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1992,Carthage Film Festival 1992,Tanit d'Or (Golden Tanit),Mohamed Malas,The Night,Syria,1,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1992,Carthage Film Festival 1992,Tanit de Bronze (Bronze Tanit),Flora Gomes,Les Yeux bleus de Yonta,Guinea-Bissau,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1992,Carthage Film Festival 1992,Winners,,"1992: The Night (Arabic: الليل) (Mohamed Malas, Syria)",,0,https://en.wikipedia.org/wiki/Tanit_d%27or
1994,Carthage Film Festival 1994,Tanit d'Argent (Silver Tanit),,Bab El-Oued City de Merzak Allouache (Algeria),,0,https://en.wikipedia.org/wiki/Carthage_Film_Festival
1994,Carthage Film Festival 1994,Tanit d'Or (Golden Tanit),Moufida Tlatli,The Silences of the Palace,Tunisia,1,https://en.wikipedia.org/wiki/Carthage_Film_Festival
