year,ceremony,category,nominee,film,winner,source_url
2013,1st Africa Magic Viewers' Choice Awards,Best Picture Director,Aryan Kaganof,Man on Ground,1,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Picture Director,Kayode Afolabi,Clinic Matters,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Picture Director,Megan Gilli,Otelo Burning,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Picture Director,Reg Chuhi /Kevin Ireri,Lies that Bind,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Picture Director,Shola Ayorinde,Two Brides and a Baby,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Picture Editor,Aryan Kaganof,Man on Ground,1,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Picture Editor,Kayode Afolabi,Clinic Matters,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Picture Editor,Meghan Gilli,Otelo Burning,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Picture Editor,Reg Chuhi /Kevin Ireri,Lies that Bind,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Picture Editor,Shola Ayorinde,Two Brides and a Baby,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Sound Editor Michael Botha / Joel Assaizky –,Michael Botha /Joel Assaizky,Man on Ground,1,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Sound Editor Michael Botha / Joel Assaizky –,Elorm Adablah,Perfect Picture,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Sound Editor Michael Botha / Joel Assaizky –,Elorm Adablah,A Sting in a Tale,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
